x0000,y0000,x0001,y0001
76.00000101,-0.4989580248, , ,
76.20000102,-0.4749997063, , ,
76.40000102,-0.6218746154, , ,
76.60000102,-0.6864579088, , ,
76.80000103,-0.7270828837, , ,
77.00000103,-0.6249996135, , ,
77.20000103,-0.6583329262, , ,
77.40000103,-1.1312493, , ,
77.60000104,-0.9968743835, , ,
77.80000104,-0.9656244029, , ,
78.00000104,-0.9031244415, , ,
78.20000104,-0.9354160882, , ,
78.40000105,-0.9104161037, , ,
78.60000105,-1.058332679, , ,
78.80000105,-0.7291662158, , ,
79.00000105,-0.7145828914, , ,
79.20000106,-0.6802079127, , ,
79.40000106,-0.557291322, , ,
79.60000106,-0.4114580789, , ,
79.80000107,-0.507291353, , ,
80.00000107,-0.5906246348, , ,
80.20000107,-0.7218745536, , ,
80.40000107,-0.6729162505, , ,
80.60000108,-0.5416663317, , ,
80.80000108,-0.3520831156, , ,
81.00000108,-0.2958331504, , ,
81.20000108,-0.1093749324, , ,
81.40000109,-0.3052081446, , ,
81.60000109,-0.1760415578, , ,
81.80000109,-0.2343748551, , ,
82.00000109,-0.4593747159, , ,
82.2000011,-0.6322912757, , ,
82.4000011,-0.9468744145, , ,
82.6000011,-0.9927077194, , ,
82.80000111,-0.9010411095, , ,
83.00000111,-0.9833327252, , ,
83.20000111,-0.9916660534, , ,
83.40000111,-1.246874229, , ,
83.60000112,-0.928124426, , ,
83.80000112,-0.879166123, , ,
84.00000112,-0.6614579243, , ,
84.20000112,-0.6416662699, , ,
84.40000113,-0.6468746, , ,
84.60000113,-0.9197910979, , ,
84.80000113,-0.8677077967, , ,
85.00000113,-0.973957731, , ,
85.20000114,-0.9687494009, , ,
85.40000114,-1.113540978, , ,
85.60000114,-0.9083327716, , ,
85.80000115,-0.7999995053, , ,
86.00000115,-0.8822911211, , ,
86.20000115,-0.2895831543, , ,
86.40000115,-0.1531249053, , ,
86.60000116,0.08229161578, , ,
86.80000116,0.3499997836, , ,
87.00000116,0.3093748087, , ,
87.20000116,0.1062499343, , ,
87.40000117,-0.414583077, , ,
87.60000117,-0.6854162428, , ,
87.80000117,-0.9145827678, , ,
88.00000117,-0.6229162815, , ,
88.20000118,-0.8249994898, , ,
88.40000118,-0.9104161037, , ,
88.60000118,-1.107290982, , ,
88.80000119,-1.048957685, , ,
89.00000119,-1.004166046, , ,
89.20000119,-1.012499374, , ,
89.40000119,-1.310415856, , ,
89.6000012,-1.188540932, , ,
89.8000012,-1.220832578, , ,
90.0000012,-1.148957623, , ,
90.2000012,-1.424999119, , ,
90.40000121,-1.014582706, , ,
90.60000121,-0.9104161037, , ,
90.80000121,-0.7333328798, , ,
91.00000121,-0.6427079359, , ,
91.20000122,-0.2187498647, , ,
