x0000,y0000
126.370876,-0.7068351595,
126.2081301,-0.6638346359,
126.0457319,-0.5027269604,
125.8836805,-0.2006615646,
125.7219749,-0.4921707392,
125.5606141,-0.5775927176,
125.3995971,-0.6400304471,
125.2389229,-0.5943626897,
125.0785905,-0.5463847359,
124.9185991,-0.3637597733,
124.7589476,-0.2400533143,
124.599635,-0.1201863511,
124.4406604,-0.1124874297,
124.2820229,-0.2071654825,
124.1237215,-0.2355531671,
123.9657552,-0.5810616582,
123.8081231,-0.3624979999,
123.6508243,-0.4329325165,
123.4938578,-0.463051642,
123.3372227,-0.5851312546,
123.180918,-0.5668194684,
123.0249429,-0.6021430231,
122.8692963,-0.5522866491,
122.7139774,-0.571326862,
122.5589853,-0.4435204214,
122.404319,-0.5713413064,
122.2499777,-0.5765655669,
122.0959604,-0.6290447432,
121.9422661,-0.5981384757,
121.7888941,-0.5873092687,
121.6358434,-0.5924497374,
121.4831131,-0.4442020463,
121.3307023,-0.4210697807,
121.1786102,-0.3315622026,
121.0268358,-0.3245524472,
120.8753782,-0.2758060675,
120.7242366,-0.1368290643,
120.5734102,-0.2173716215,
120.4228979,-0.1793300854,
120.272699,-0.3969872977,
120.1228125,-0.251890202,
119.9732377,-0.2661529835,
119.8239736,-0.2267697864,
119.6750194,-0.08369968569,
119.5263743,-0.2119087994,
119.3780373,-0.1890877928,
119.2300076,-0.1332426046,
119.0822844,-0.3158923124,
118.9348669,-0.3551232213,
118.7877541,-0.539620777,
118.6409453,-0.6370414355,
118.4944396,-0.6730774449,
118.3482362,-0.6557147007,
118.2023342,-0.5738962506,
118.0567329,-0.4863525231,
117.9114313,-0.474767473,
117.7664287,-0.4556842671,
117.6217243,-0.5646700519,
117.4773172,-0.5815425017,
117.3332066,-0.6043425341,
117.1893918,-0.50358341,
117.0458718,-0.4039824101,
116.902646,-0.3159661053,
116.7597134,-0.2848285194,
116.6170733,-0.2768242906,
116.4747249,-0.3777259412,
116.3326675,-0.2202595654,
116.1909001,-0.2618540828,
116.049422,-0.2009586621,
115.9082325,-0.2108335254,
115.7673308,-0.2060052967,
115.626716,-0.1894901876,
115.4863873,-0.2949740576,
115.3463441,-0.1777904295,
115.2065856,-0.2654166186,
115.0671109,-0.3628461715,
114.9279193,-0.442498336,
114.78901,-0.3389703892,
114.6503823,-0.3808394467,
114.5120355,-0.5895377013,
114.3739686,-0.4073155723,
114.2361811,-0.3254802756,
114.0986721,-0.3863527802,
113.9614409,-0.5747886901,
113.8244868,-0.4496393754,
113.6878089,-0.3932632295,
113.5514066,-0.4705389309,
113.4152792,-0.546794006,
113.2794258,-0.6538425466,
113.1438457,-0.6010306594,
113.0085383,-0.6272792323,
112.8735028,-0.4082123098,
112.7387384,-0.2166685056,
112.6042444,-0.2757156758,
112.4700201,-0.1871666824,
112.3360649,-0.1603063325,
112.2023779,-0.2163280857,
112.0689584,-0.2152010911,
111.9358058,-0.3263131076,
111.8029193,-0.4660203965,
111.6702982,-0.552725549,
111.5379418,-0.5378493283,
111.4058495,-0.5793891012,
111.2740204,-0.5309057562,
111.142454,-0.4990433857,
111.0111494,-0.6059953229,
110.8801061,-0.5243333035,
110.7493233,-0.5328180022,
110.6188003,-0.4862579859,
110.4885365,-0.2717911216,
110.3585311,-0.1772270156,
110.2287835,-0.3307981125,
110.099293,-0.3389017468,
109.970059,-0.4343879692,
109.8410806,-0.3516548194,
109.7123573,-0.3737318144,
109.5838884,-0.4451857449,
109.4556733,-0.4429725507,
109.3277112,-0.3675277152,
109.2000014,-0.4086664431,
109.0725434,-0.3733753697,
108.9453365,-0.4593468185,
108.81838,-0.4723150863,
108.6916732,-0.5353365551,
108.5652155,-0.4211109168,
108.4390063,-0.3506743482,
108.3130448,-0.2975537094,
108.1873305,-0.5638506878,
108.0618627,-0.5771078799,
107.9366407,-0.6847876237,
107.811664,-0.6684906002,
107.6869318,-0.6217520966,
107.5624436,-0.568717221,
107.4381986,-0.4085729491,
107.3141964,-0.2929271358,
107.1904361,-0.2401952185,
107.0669173,-0.2011648924,
106.9436392,-0.3290622732,
106.8206013,-0.380917672,
106.6978029,-0.3060579366,
106.5752434,-0.3265070924,
106.4529222,-0.4022488499,
106.3308387,-0.2782322483,
106.2089922,-0.3201701957,
106.0873822,-0.3549842621,
105.966008,-0.2538806208,
105.844869,-0.2924686255,
105.7239646,-0.1918754857,
105.6032943,-0.2486415653,
105.4828573,-0.4555881204,
105.3626531,-0.4215585033,
105.2426812,-0.2378392088,
105.1229408,-0.2959464564,
105.0034315,-0.3177620535,
104.8841526,-0.2370863956,
104.7651034,-0.3060080818,
104.6462836,-0.2040248661,
104.5276923,-0.2289321688,
104.4093292,-0.3270331079,
104.2911935,-0.3116520466,
104.1732847,-0.3748595612,
104.0556022,-0.4102684093,
103.9381454,-0.3367528656,
103.8209138,-0.317807677,
103.7039068,-0.4158290785,
103.5871238,-0.363989619,
103.4705642,-0.3632934367,
103.3542275,-0.4975899859,
103.2381131,-0.4193038966,
103.1222204,-0.3726730999,
103.0065489,-0.2786706515,
102.891098,-0.3862712754,
102.7758671,-0.2848044533,
102.6608557,-0.4272908862,
102.5460633,-0.4288670096,
102.4314892,-0.386915559,
102.3171329,-0.4040313813,
102.2029939,-0.4377106986,
102.0890717,-0.5518794565,
101.9753656,-0.4916668933,
101.8618751,-0.303535141,
101.7485997,-0.308854251,
101.6355388,-0.2164946023,
101.522692,-0.2947680774,
101.4100585,-0.3610234733,
101.297638,-0.5405118427,
101.1854299,-0.3760089153,
101.0734336,-0.3403334775,
100.9616487,-0.2576769766,
100.8500745,-0.3088617327,
100.7387106,-0.1495041587,
100.6275564,-0.165417408,
100.5166114,-0.0144323586,
100.405875,0.01613384839,
100.2953468,0.05636235951,
100.1850263,-0.06257102218,
100.0749128,-0.05156718618,
99.96500598,-0.05947698533,
99.8553052,0.0325368614,
99.74580997,0.02051110251,
99.63651979,0.00853029351,
99.52743415,-0.1350941029,
99.41855253,-0.1552377088,
99.30987443,-0.02884061856,
99.20139933,0.09934254959,
99.09312674,0.2016946625,
98.98505615,0.1090943749,
98.87718706,-0.08531668455,
98.76951896,-0.2123341508,
98.66205136,-0.2941420698,
98.55478376,-0.2891295115,
98.44771567,-0.3270337153,
98.34084659,-0.2858313177,
98.23417602,-0.3363659936,
98.12770348,-0.3069322258,
98.02142848,-0.2621228194,
97.91535052,-0.2406618449,
97.80946912,-0.1895282517,
97.7037838,0.002749671278,
97.59829408,-0.031288258,
97.49299946,-0.006574822403,
97.38789947,0.02570380308,
97.28299362,0.1190017268,
97.17828145,0.07682695471,
97.07376248,0.1832831909,
96.96943622,0.2589463768,
96.86530221,0.2438390116,
96.76135998,0.3099167186,
96.65760904,0.2720953491,
96.55404895,0.358354545,
96.45067922,0.3867420026,
96.34749939,0.4440170326,
96.24450899,0.5096555941,
96.14170757,0.4841138461,
96.03909466,0.5355536602,
95.93666979,0.5734795703,
95.83443252,0.6719131456,
95.73238238,0.5416447681,
95.63051891,0.5904792631,
95.52884167,0.4386110346,
95.42735019,0.376020103,
95.32604403,0.4022185902,
95.22492274,0.518299567,
95.12398585,0.5394144241,
95.02323294,0.4791883883,
94.92266354,0.4270303162,
94.82227722,0.4675203554,
94.72207353,0.3649933476,
94.62205202,0.5433720645,
94.52221227,0.5008229481,
94.42255381,0.5958515475,
94.32307623,0.5631943281,
94.22377907,0.5921419177,
94.12466191,0.7102110355,
94.02572431,0.7753382534,
93.92696583,0.868492722,
93.82838605,1.074162212,
93.72998453,1.15414744,
93.63176084,1.125484083,
93.53371456,1.198960954,
93.43584525,1.279809335,
93.3381525,1.233782599,
93.24063588,1.395969744,
93.14329496,1.402572735,
93.04612932,1.285778882,
92.94913854,1.236528055,
92.85232221,1.252945284,
92.7556799,1.326630602,
92.6592112,1.383984905,
92.5629157,1.439627214,
92.46679297,1.425540576,
92.3708426,1.359574882,
92.27506419,1.251478628,
92.17945732,1.234810179,
92.08402158,1.189891606,
91.98875657,1.102498475,
91.89366188,1.152981202,
91.7987371,1.248725354,
91.70398182,1.430413517,
91.60939565,1.473143561,
91.51497819,1.70192798,
91.42072902,1.6959525,
91.32664776,1.83980304,
91.23273399,1.879533872,
91.13898734,2.106933656,
91.04540739,2.148475466,
90.95199376,2.116464635,
90.85874604,2.076313997,
90.76566386,1.99997349,
90.67274681,1.935503734,
90.5799945,1.966341618,
90.48740655,2.11077129,
90.39498258,2.25949493,
90.30272218,2.401926697,
90.21062497,2.404388759,
90.11869058,2.511128605,
90.02691862,2.663331799,
89.9353087,2.863617194,
89.84386044,3.030355188,
89.75257347,3.013611448,
89.6614474,3.204144211,
89.57048186,3.33956312,
89.47967647,3.600191184,
89.38903085,3.751405184,
89.29854463,3.942103851,
89.20821744,3.984532029,
89.1180489,3.985042965,
89.02803865,4.067512448,
88.9381863,4.044013636,
88.8484915,4.041592639,
88.75895387,4.033580651,
88.66957305,3.855355598,
88.58034867,3.756213262,
88.49128037,3.710247819,
88.40236778,3.698673804,
88.31361054,3.606304886,
88.22500829,3.453390131,
88.13656067,3.344726553,
88.04826731,3.327867421,
87.96012787,3.329865297,
87.87214198,3.251723926,
87.78430928,3.255662195,
87.69662942,3.130000021,
87.60910205,2.993381366,
87.52172682,2.99363624,
87.43450336,2.786000798,
87.34743133,2.860912096,
87.26051038,2.813883794,
87.17374016,2.895249047,
87.08712032,2.950633759,
87.00065051,3.043618619,
86.91433039,3.153345137,
86.82815961,3.30752777,
86.74213783,3.543537281,
86.6562647,3.706778827,
86.57053989,3.717776471,
86.48496305,3.785285415,
86.39953383,3.904567609,
86.31425191,4.137929806,
86.22911694,4.364277869,
86.14412859,4.580550775,
86.05928651,4.936027936,
85.97459038,5.212702163,
85.89003985,5.388978243,
85.8056346,5.716612978,
85.7213743,6.073805701,
85.6372586,6.539193068,
85.55328719,6.812451058,
85.46945972,6.979192737,
85.38577587,7.333912575,
85.30223532,7.438736384,
85.21883774,7.607417778,
85.1355828,7.838762071,
85.05247017,7.914463007,
84.96949953,7.986004183,
84.88667056,7.902545165,
84.80398294,7.867548658,
84.72143634,7.793136347,
84.63903044,7.770422151,
84.55676493,7.484916288,
84.47463948,7.174297631,
84.39265378,6.7708594,
84.31080751,6.560869021,
84.22910036,6.332870615,
84.147532,6.145534545,
84.06610214,5.894411701,
83.98481044,5.640321729,
83.9036566,5.466055389,
83.82264031,5.276769539,
83.74176126,5.081801014,
83.66101914,4.967315741,
83.58041363,4.877537047,
83.49994444,4.833696812,
83.41961125,4.705549717,
83.33941376,4.636671478,
83.25935165,4.533019222,
83.17942464,4.441769964,
83.09963241,4.447569254,
83.01997466,4.331467545,
82.94045109,4.345692983,
82.86106139,4.5251182,
82.78180527,4.607007101,
82.70268243,4.735551788,
82.62369257,4.780210764,
82.54483539,4.86369592,
82.4661106,4.91575615,
82.38751789,4.990945221,
82.30905697,5.09322959,
82.23072755,5.241630939,
82.15252934,5.437951718,
82.07446204,5.797734552,
81.99652536,5.990015691,
81.918719,6.356156007,
81.84104269,6.577561506,
81.76349612,6.942283342,
81.68607901,7.251789986,
81.60879107,7.597254081,
81.53163202,7.871685837,
81.45460156,8.229771661,
81.37769942,8.346931647,
