x0000,y0000,x0001,y0001
108.8451105,-0.05451085953, , ,
108.7525617,-0.07080298882, , ,
108.6601555,-0.113494881, , ,
108.5678918,-0.3121102174, , ,
108.4757702,-0.1577325158, , ,
108.3837904,-0.2197197339, , ,
108.2919522,-0.1166212239, , ,
108.2002552,0.002386104751, , ,
108.1086991,0.01191218927, , ,
108.0172837,-0.04091498961, , ,
107.9260087,-0.08835470833, , ,
107.8348738,-0.1735924928, , ,
107.7438787,-0.0520925937, , ,
107.6530231,-0.01323960751, , ,
107.5623067,0.06420814323, , ,
107.4717293,-0.01461326837, , ,
107.3812905,0.05506889112, , ,
107.2909902,-0.119368388, , ,
107.2008279,-0.1323244821, , ,
107.1108034,-0.1536741285, , ,
107.0209165,-0.04210227695, , ,
106.9311668,-0.2512938425, , ,
106.8415541,0.002798257373, , ,
106.7520781,0.09592698593, , ,
106.6627386,0.09624572168, , ,
106.5735352,0.008356442688, , ,
106.4844676,0.03013009304, , ,
106.3955356,0.01619920416, , ,
106.306739,0.02218225666, , ,
106.2180774,-0.04060563907, , ,
106.1295505,-0.06864825001, , ,
106.0411582,-0.1076462533, , ,
105.9529001,0.07532984997, , ,
105.8647759,-0.04723903382, , ,
105.7767854,-0.0293078943, , ,
105.6889283,-0.0649283223, , ,
105.6012044,-0.06437340426, , ,
105.5136133,-0.1290077079, , ,
105.4261549,-0.1561225139, , ,
105.3388287,-0.07180770168, , ,
105.2516347,-0.02359718182, , ,
105.1645724,-0.06071622764, , ,
105.0776417,-0.1131054439, , ,
104.9908423,-0.1996685287, , ,
104.9041738,-0.1727548708, , ,
104.8176361,-0.1918605279, , ,
104.7312289,-0.2086598327, , ,
104.644952,-0.2258572453, , ,
104.5588049,-0.2891819973, , ,
104.4727876,-0.1728003701, , ,
104.3868997,-0.1636004909, , ,
104.301141,-0.1718346442, , ,
104.2155112,-0.05882619235, , ,
104.13001,-0.09789637817, , ,
104.0446373,-0.0635371082, , ,
103.9593927,-0.1455167682, , ,
103.874276,-0.08328085263, , ,
103.789287,-0.007077106621, , ,
103.7044253,-0.02429110176, , ,
103.6196907,-0.08423003565, , ,
103.535083,-0.02201674133, , ,
103.4506019,-0.04968339014, , ,
103.3662472,-0.01712172247, , ,
103.2820186,-0.03506898729, , ,
103.1979159,-0.02670015533, , ,
103.1139388,-0.0773585388, , ,
103.030087,-0.1806702703, , ,
102.9463604,-0.2318193427, , ,
102.8627586,-0.2641062847, , ,
102.7792814,-0.216791834, , ,
102.6959286,-0.09370198168, , ,
102.6126999,-0.1788949366, , ,
102.5295951,-0.03157360348, , ,
102.4466139,-0.1135822986, , ,
102.3637561,-0.2587379245, , ,
102.2810215,-0.2936618087, , ,
102.1984097,-0.1324245135, , ,
102.1159206,-0.1785936013, , ,
102.0335539,-0.1826153908, , ,
101.9513094,-0.2846459153, , ,
101.8691867,-0.1072785472, , ,
101.7871858,-0.03755588529, , ,
101.7053063,-0.00426139527, , ,
101.6235481,-0.09361195294, , ,
101.5419107,-0.1147174571, , ,
101.4603942,-0.09333528719, , ,
101.3789981,-0.03092457957, , ,
101.2977222,-0.1675074791, , ,
101.2165664,-0.1512099718, , ,
101.1355303,-0.2260585307, , ,
101.0546138,-0.1844544944, , ,
100.9738166,-0.2422127219, , ,
100.8931385,-0.1948283254, , ,
100.8125792,-0.2356298993, , ,
100.7321385,-0.1482032145, , ,
100.6518162,-0.1258292043, , ,
100.5716121,-0.07471862865, , ,
100.4915258,-0.20715407, , ,
100.4115572,-0.1410906756, , ,
100.3317061,-0.0623378357, , ,
100.2519722,-0.01078936703, , ,
100.1723553,-0.1226526118, , ,
100.0928551,-0.0935096241, , ,
100.0134715,-0.1615428435, , ,
99.93420416,-0.04538026796, , ,
99.85505292,-0.01853747594, , ,
99.77601753,0.03660935858, , ,
99.69709776,0.006161092213, , ,
99.61829339,-0.09146100298, , ,
99.5396042,-0.1609491188, , ,
99.46102996,-0.1586693506, , ,
99.38257044,-0.1502708394, , ,
99.30422543,-0.232009113, , ,
99.2259947,-0.2699432659, , ,
99.14787803,-0.2105984786, , ,
99.06987519,-0.2935151855, , ,
98.99198597,-0.2602522073, , ,
98.91421015,-0.2655404311, , ,
98.8365475,-0.1681465176, , ,
98.75899781,-0.2244075038, , ,
98.68156085,-0.2039301521, , ,
98.60423641,-0.1400486154, , ,
98.52702428,-0.03576502534, , ,
98.44992422,-0.07905039004, , ,
98.37293604,-0.0004006889414, , ,
98.2960595,-0.07281965468, , ,
98.2192944,-0.03835470399, , ,
98.14264052,-0.06343296417, , ,
98.06609764,-0.09521087715, , ,
97.98966555,-0.1786101328, , ,
97.91334404,-0.1644490937, , ,
97.83713289,-0.1320830444, , ,
97.76103189,-0.0772341631, , ,
97.68504083,-0.06960810337, , ,
97.6091595,-0.07424677316, , ,
97.53338768,-0.11830794, , ,
97.45772517,-0.08072716553, , ,
97.38217175,-0.130156944, , ,
97.30672722,-0.05654258364, , ,
97.23139137,-0.1176274061, , ,
97.15616398,-0.1245055739, , ,
97.08104485,-0.1344914966, , ,
97.00603377,-0.08354590469, , ,
96.93113054,-0.1286472899, , ,
96.85633494,-0.06617763327, , ,
96.78164678,-0.1275005508, , ,
96.70706584,-0.2332861175, , ,
96.63259193,-0.2763633559, , ,
96.55822483,-0.2500346794, , ,
96.48396434,-0.323110528, , ,
96.40981026,-0.2612828465, , ,
96.33576239,-0.2512739817, , ,
96.26182051,-0.2505295206, , ,
96.18798444,-0.2413325225, , ,
96.11425397,-0.1227961563, , ,
96.0406289,-0.1237702305, , ,
95.96710902,-0.1396644001, , ,
95.89369413,-0.1490173846, , ,
95.82038405,-0.1907752818, , ,
95.74717856,-0.1664997559, , ,
95.67407747,-0.08636512001, , ,
95.60108058,-0.05432868774, , ,
95.52818769,-0.02731534074, , ,
95.4553986,-0.03939931831, , ,
95.38271312,-0.009457512263, , ,
95.31013106,-0.01586602098, , ,
95.2376522,-0.01735236556, , ,
95.16527637,-0.06027028633, , ,
95.09300336,-0.01241309045, , ,
95.02083298,-0.05746989603, , ,
94.94876503,-0.02513084409, , ,
94.87679933,-0.09214058485, , ,
94.80493567,-0.09724629884, , ,
94.73317387,-0.2483736648, , ,
94.66151373,-0.2450381629, , ,
94.58995506,-0.2487880805, , ,
94.51849768,-0.2845113399, , ,
94.44714138,-0.3528150319, , ,
94.37588597,-0.4135080431, , ,
94.30473128,-0.3644098446, , ,
94.2336771,-0.2647855146, , ,
94.16272325,-0.1562097203, , ,
94.09186954,-0.05125889778, , ,
94.02111578,-0.1108429365, , ,
93.95046179,-0.008457786452, , ,
93.87990737,0.002937693666, , ,
93.80945234,0.1477779011, , ,
93.73909652,0.1446404482, , ,
93.6688397,0.093975423, , ,
93.59868172,-0.005477232978, , ,
93.52862239,-0.05214288648, , ,
93.45866152,-0.1092369708, , ,
93.38879892,-0.04545148269, , ,
93.31903441,-0.1013053029, , ,
93.24936781,-0.02936995052, , ,
93.17979894,-0.04453626704, , ,
93.11032761,-0.1063033183, , ,
93.04095364,-0.2206133431, , ,
92.97167685,-0.181363509, , ,
92.90249706,-0.2225164093, , ,
92.83341408,-0.197395769, , ,
92.76442774,-0.1213596755, , ,
92.69553785,-0.1043381638, , ,
92.62674424,-0.1732959207, , ,
92.55804673,-0.06149849465, , ,
92.48944513,-0.1138990402, , ,
92.42093927,-0.001426208426, , ,
92.35252898,-0.1498990947, , ,
92.28421406,-0.1262232785, , ,
92.21599436,-0.1040334963, , ,
92.14786968,-0.05247615926, , ,
92.07983985,-0.04071863393, , ,
92.0119047,-0.1156214538, , ,
91.94406406,-0.1228755603, , ,
91.87631773,-0.06241017614, , ,
91.80866556,-0.07147831967, , ,
